temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.13,-0.25,-0.06,-0.02,0.01,0.09,0.092736184954957,0.2880972058177586,0.1080428525657532,0.2186689458739419,0.4999999999999999,2.5,-1.5,2.958039891549808,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.0,-0.25,0.0,-0.02,0.1,0.05,0.1135781669160054,0.25,1.0768123660055031,0.3805063771123649,0.0,4.5,-2.0,4.924428900898052,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.06,0.0,-0.06,-0.02,0.09,0.07,0.1157583690279022,0.0848528137423857,0.8906514022190656,0.2782996590051113,0.0,-0.5000000000000004,1.0000000000000002,1.1180339887498951,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.0,0.0,0.06,-0.02,0.02,0.1,0.1039230484541326,0.06,0.1936583004443266,0.1973955598498807,0.0,-3.5,1.5,3.807886552931954,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.0,0.19,-0.06,-0.02,0.02,0.12,0.1232882800593795,0.1992485884517127,0.1629414786105193,0.1651486774146268,0.0,0.0,0.9999999999999994,0.9999999999999994,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.19,0.0,0.0,-0.02,-0.03,0.13,0.1349073756323204,0.19,-0.2242495806264,0.1526493283952651,0.0,-2.5,0.5000000000000004,2.549509756796392,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.06,-0.06,0.0,-0.02,0.0,0.09,0.0921954445729288,0.0848528137423857,0.0,0.2186689458739419,0.0,1.5,-2.0000000000000004,2.5000000000000004,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.06,0.0,-0.13,-0.02,0.1,0.07,0.1236931687685298,0.1431782106327635,0.9415173468973194,0.2782996590051113,0.0,5.0,-0.9999999999999994,5.0990195135927845,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.06,-0.06,0.0,-0.01,0.07,0.09,0.1144552314225959,0.0848528137423857,0.6580722923530028,0.1106572211738956,0.5,-1.5,0.9999999999999994,1.8708286933869704,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,-0.13,-0.06,-0.01,0.08,0.1,0.1284523257866513,0.1933907960581371,0.6723153665191975,0.099668652491162,0.0,0.4999999999999997,0.5000000000000004,0.7071067811865477,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.06,-0.13,-0.06,-0.02,-0.03,0.13,0.1349073756323204,0.1552417469626002,-0.2242495806264,0.1526493283952651,-0.5,-5.5,1.5,5.722761571129799,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.0,-0.06,-0.06,-0.03,0.0,0.1,0.1044030650891055,0.0848528137423857,0.0,0.291456794477867,-0.4999999999999999,1.5,-1.5,2.179449471770337,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.06,0.13,0.06,-0.03,0.03,0.08,0.0905538513813741,0.1552417469626002,0.337675307419772,0.3587706702705722,0.0,1.5,-1.0000000000000002,1.8027756377319948,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,-0.06,0.0,-0.02,0.11,0.07,0.1319090595827292,0.1431782106327635,0.986150935073238,0.2782996590051113,0.4999999999999999,4.0,-0.4999999999999997,4.06201920231798,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.0,-0.06,0.0,-0.02,0.03,0.08,0.0877496438739212,0.06,0.3489185573010099,0.2449786631268641,0.0,-4.0,0.4999999999999997,4.031128874149275,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.06,0.0,-0.06,-0.01,0.03,0.11,0.1144552314225959,0.0848528137423857,0.2652092593036508,0.0906598872007451,0.5,0.0,1.5,1.5811388300841898,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,0.0,0.13,-0.02,0.09,0.11,0.1435270009440732,0.1838477631085023,0.6777728730572442,0.1798534997924782,-0.5,3.0,0.0,3.0413812651491097,0
