temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
0.0,0.0,0.0,0.0,7.31,0.62,95.56,-7.37,4.37,-21.62,0.33,-1.98,1.09
0.0,0.0,0.0,0.0,8.44,1.87,96.25,-19.06,-11.31,-28.69,2.24,-4.77,6.41
0.0,0.0,0.0,0.0,9.13,3.19,98.0,-40.56,-11.56,-21.37,3.45,-0.58,4.94
181.35,0.0,0.0,0.0,9.69,3.19,100.37,-55.63,25.19,16.75,0.02,2.32,0.68
0.0,0.0,0.0,0.0,200.0,-4.37,155.75,4.87,-3.12,-0.19,-0.03,0.48,-0.65
0.0,0.0,0.0,0.0,200.0,-4.5,155.5,6.25,-2.5,0.62,0.08,0.3,-0.27
0.0,0.0,0.0,0.0,200.0,-4.56,155.25,7.87,-2.37,0.25,-0.03,0.25,-0.44
0.0,0.0,0.0,0.0,200.0,-4.69,154.94,9.13,-2.19,-0.31,-0.14,0.36,-0.32
0.0,0.0,0.0,0.0,200.0,-4.81,154.62,10.5,-1.56,-1.19,-0.04,-0.07,-0.04
0.0,0.0,0.0,0.0,200.0,-4.87,154.12,10.56,0.06,-0.62,-0.08,0.28,0.13
0.0,0.0,0.0,0.0,200.0,-4.81,153.62,10.81,0.81,-0.69,0.05,0.09,0.0
0.0,0.0,0.0,0.0,200.0,-4.75,153.06,12.88,1.81,-0.5,0.2,0.63,-0.75
0.0,0.0,0.0,0.0,200.06,-4.69,152.37,16.37,2.75,1.25,0.27,0.96,-0.41
0.0,0.0,0.0,0.0,200.19,-4.62,151.5,19.81,-0.06,-0.44,0.11,0.46,-0.56
0.0,0.0,0.0,0.0,200.06,-4.69,150.37,22.37,-4.62,-4.81,0.04,1.0,-0.66
181.35,0.0,0.0,0.0,8.38,-2.44,50.56,21.56,15.25,0.31,0.0,-0.95,-0.09
0.0,0.0,0.0,0.0,8.63,-3.12,49.75,16.25,2.5,-9.31,-3.48,1.03,-0.38
0.0,0.0,0.0,0.0,9.38,-2.94,50.06,2.06,17.0,-6.0,1.81,-2.22,1.15
0.0,0.0,0.0,0.0,10.06,-3.12,49.94,-3.25,10.19,-10.38,-0.12,-0.12,0.33
0.0,0.0,0.0,0.0,10.75,-3.12,50.0,0.94,12.56,-7.69,0.0,-0.17,-0.3
0.0,0.0,0.0,0.0,11.44,-3.12,50.31,-4.19,12.81,-8.94,0.11,1.17,0.44
0.0,0.0,0.0,0.0,12.0,-3.25,50.44,3.0,6.69,-5.5,-0.17,0.89,1.13
0.0,0.0,0.0,0.0,12.19,-3.25,50.38,-0.69,0.56,-0.19,-0.08,0.63,0.23
0.0,0.0,0.0,0.0,11.94,-3.25,50.31,1.31,-5.69,4.19,0.0,0.34,-0.02
0.0,0.0,0.0,0.0,11.56,-3.19,50.31,3.31,-7.94,3.62,-0.27,0.22,-0.72
0.0,0.0,0.0,0.0,11.31,-3.12,50.19,1.19,-3.25,3.12,-0.04,0.37,-0.29
0.0,0.0,0.0,0.0,11.13,-3.19,50.13,-0.56,-1.81,1.19,-0.33,-0.16,-0.2
0.0,0.0,0.0,0.0,24.19,-3.87,51.94,0.06,-0.88,0.75,0.13,0.48,0.53
0.0,0.0,0.0,0.0,24.06,-3.87,51.94,0.13,-1.87,1.5,0.22,0.43,0.31
0.0,0.0,0.0,0.0,23.94,-3.87,51.81,0.19,-2.5,1.69,-0.27,0.4,0.26
0.0,0.0,0.0,0.0,23.81,-3.87,51.69,0.25,-1.81,1.56,-0.04,0.39,0.25
0.0,0.0,0.0,0.0,23.69,-3.87,51.69,0.0,-2.12,1.62,0.24,0.38,0.15
0.0,0.0,0.0,0.0,23.56,-3.87,51.63,0.0,-2.44,1.69,-0.22,0.28,0.14
0.0,0.0,0.0,0.0,23.44,-3.87,51.63,-0.06,-1.5,1.31,0.0,0.26,0.2
0.0,0.0,0.0,0.0,23.31,-3.87,51.5,0.06,-1.31,1.19,0.07,0.27,0.15
0.0,0.0,0.0,0.0,23.25,-3.87,51.44,0.19,-1.06,0.94,-0.14,0.3,0.07
0.0,0.0,0.0,0.0,23.19,-3.87,51.38,0.0,-0.62,0.44,0.05,0.29,0.03
0.0,0.0,0.0,0.0,23.19,-3.87,51.31,-0.06,0.06,0.13,-0.13,0.2,0.09
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.0,0.0,0.0,-0.05,0.03,0.01
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.06,-0.06,0.06,-0.05,0.05,-0.05
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.06,0.0,-0.06,-0.05,0.0,-0.01
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.06,0.0,0.06,-0.05,0.1,-0.09
