absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
327.44,-7.25,99.12,0.56,9.19,1.56,-0.08,0.07,-0.27,0.2901723625709382,9.338270717857776,0.2436391929253561,2.853537206539168,-5.0,1.5000000000000002,1.4999999999999984,5.431390245600108,0
327.87,-7.25,99.25,0.44,9.75,1.5,0.05,0.04,-0.24,0.2483948469674844,9.874517709741577,0.1617381725504539,-2.936197264400026,6.5,-1.5000000000000002,1.500000000000001,6.837397165588672,0
328.31,-7.25,99.31,0.56,7.87,1.25,0.04,-0.07,-0.08,0.1135781669160054,7.988303950151121,-0.6640555250489267,-2.677945044588987,-0.5000000000000001,-5.500000000000001,7.999999999999998,9.721111047611789,0
328.62,-7.25,99.31,0.44,8.06,1.37,0.03,0.01,0.06,0.0678232998312526,8.187435495929114,0.1479814607487837,-0.4636476090008061,-0.5000000000000001,4.0,7.000000000000001,8.077747210701757,0
335.5,-6.87,100.0,0.0,1.56,0.13,-0.07,0.0,-0.01,0.0707106781186547,1.5654072952429985,0.0,1.7126933813990606,-5.0,-0.5,-3.5,6.123724356957945,0
335.62,-6.87,100.0,-0.13,1.25,0.19,-0.06,0.01,0.0,0.0608276253029822,1.2710232098588916,0.1651486774146268,1.5707963267948966,0.5000000000000004,0.5,0.5,0.8660254037844389,0
335.69,-6.87,100.0,-0.19,1.06,0.06,-0.03,0.0,0.01,0.0316227766016837,1.078563859954523,0.0,1.2490457723982544,1.5,-0.5,0.5,1.6583123951777,0
335.75,-6.87,100.0,-0.19,1.0,0.13,-0.07,0.03,0.0,0.076157731058639,1.026157882589224,0.4048917862850834,1.5707963267948966,-2.0000000000000004,1.5,-0.5,2.5495097567963927,0
335.81,-6.87,100.0,-0.19,0.94,0.06,-0.06,0.01,0.0,0.0608276253029822,0.960885008728932,0.1651486774146268,1.5707963267948966,0.5000000000000004,-0.9999999999999998,0.0,1.118033988749895,0
335.81,-6.87,100.0,-0.06,1.0,0.0,-0.06,0.01,0.0,0.0608276253029822,1.0017983829094554,0.1651486774146268,1.5707963267948966,0.0,0.0,0.0,0.0,0
335.87,-6.87,100.0,-0.19,0.69,0.13,-0.07,0.05,-0.01,0.0866025403784438,0.7273926037567332,0.6154797086703873,1.7126933813990606,-0.5000000000000004,2.0,-0.5,2.1213203435596424,0
335.94,-6.81,100.0,-0.19,0.69,0.06,-0.07,0.02,0.01,0.0734846922834953,0.7181921748390189,0.2756427992162653,1.4288992721907328,0.0,-1.5,1.0,1.8027756377319943,0
335.94,-6.81,100.0,-0.19,0.37,0.13,-0.06,0.01,0.01,0.0616441400296897,0.4357751713900185,0.1629414786105193,1.40564764938027,0.5000000000000004,-0.5,0.0,0.7071067811865478,0
335.94,-6.81,100.0,-0.13,0.31,0.19,-0.06,0.0,0.01,0.0608276253029822,0.3861346915261565,0.0,1.40564764938027,0.0,-0.5,0.0,0.5,0
